siteID,AP19,JA19,JU19,OC19,AP20,JA20,JU20,OC20,AP21,JA21,JU21,OC21,AP22,JA22,JU22,OC22
D03-GOM1_CHIL,122,112,127,118,97,119,101,102,81,84,96,89,91,103,109,111
D03-HOR1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03-NPV1_CHIL,69,66,71,73,56,66,59,63,57,55,56,54,54,51,58,60
D03-STB1_CHIL,391,372,411,410,343,371,326,336,274,306,312,297,305,306,327,337
D04-DNP1_CHIL,66,58,69,61,50,56,56,57,44,51,46,43,42,46,49,47
D04-EDW0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D04-FGP1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D04-RDP1_CHIL,141,119,148,135,92,118,103,112,82,89,88,89,80,87,85,106
D04-ROS0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D05-ADC2_CHIL,NA,NA,NA,NA,45,44,49,46,42,39,43,45,NA,33,NA,NA
D05-BRP1_CHIL,106,99,110,104,73,84,76,81,71,71,79,74,83,83,86,84
D05-MIA1_CHIL,75,75,82,75,67,72,67,72,62,63,66,61,60,62,63,64
D05-PRC1_CHIL,53,50,52,54,44,49,51,47,48,45,51,46,43,44,46,47
D06-KCG1_CHIL,32,29,31,27,24,27,28,27,26,23,26,21,23,22,25,23
D07-ASC0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D07-NOC1_CHIL,46,40,49,45,40,46,45,43,38,41,40,42,40,42,40,44
D08-CCC1_CHIL,40,37,44,41,37,40,41,42,34,36,39,37,34,36,38,38
D08-DAW0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D08-DAW2_CHIL,58,54,58,60,46,50,47,52,45,45,47,45,45,45,44,46
D09-CLG0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D09-RYW1_CHIL,2,1,2,5,4,4,4,3,3,2,2,1,1,1,2,2
D09-VTC1_CHIL,64,64,66,65,58,63,59,61,57,56,55,60,56,56,56,60
D10-CAN0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D10-MAC1_CHIL,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
D10-VHC1_CHIL,31,33,33,32,27,30,27,28,29,26,28,25,29,25,21,27
J01-BBS1_CHIL,37,37,36,34,32,33,31,32,30,29,33,34,35,32,35,34
J01-CLP1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J01-LMP1_CHIL,85,78,91,84,68,77,69,72,58,63,65,66,65,67,75,74
J01-NOR1_CHIL,34,30,38,36,29,29,36,34,28,28,36,33,30,29,37,37
J01-SEP1_CHIL,584,568,598,597,518,555,510,512,452,467,493,482,486,504,523,544
J01-SKP1_CHIL,476,459,489,482,398,427,370,369,284,331,343,344,334,344,360,411
J01-UIC1_CHIL,277,269,277,275,249,260,247,251,224,239,235,252,245,246,243,259
