,fcity,city,site,long,lat,crs,JA19,AP19,JU19,OC19,JA20,AP20,JU20,OC20,JA21,AP21,JU21,OC21,JA22,AP22,JU22,OC22
79,"Chicago, IL",chil,R02-FRP1,-87.73276152,41.86167611,4326,0.062125037,0.034814989,0.155897028,0.145122112,0.071672013,0.099705766,0.022878385,0.124641193,0.023443035,0.081441178,0.135605028,0.116231833,0.072168661,0.090124726,0.157647349,0.113376564
80,"Chicago, IL",chil,R02-HRF1,-87.71353018,41.86879099,4326,0.06935191,0.035323876,0.166939957,0.16054275,0.083342249,0.11039821,-0.010279985,0.142404858,0.034097564,0.095988715,0.110676789,0.131460129,0.061677936,0.103923584,0.175456259,0.127294116
81,"Chicago, IL",chil,R03-AUP1,-87.76897765,41.88766256,4326,0.072186523,0.055354202,0.183163553,0.17187874,0.077283387,0.097461665,0.042523019,0.153612388,0.049233785,0.095601094,0.139307852,0.133742698,0.084232395,0.102006375,0.194974544,0.134828066
82,"Chicago, IL",chil,R03-CPG1,-87.7721358,41.87566237,4326,0.081897844,0.04785244,0.195129724,0.182308731,0.099419263,0.110432167,-0.002781698,0.160714178,0.035104856,0.112089688,0.127952002,0.150220354,0.062216529,0.120138778,0.2113046,0.147264215
83,"Chicago, IL",chil,R03-EUC1,-87.79182537,41.86573343,4326,0.070151321,0.040332598,0.193313903,0.167849418,0.081104802,0.07461816,0.009935771,0.155194293,0.046225624,0.096748261,0.127124737,0.136550001,0.087534556,0.102297774,0.197644834,0.136295513
84,"Chicago, IL",chil,R03-MAP1,-87.80378089,41.86786605,4326,0.071738731,0.047773631,0.191545905,0.161009677,0.074218556,0.083649549,0.019720639,0.150029273,0.043122762,0.09440648,0.169858723,0.13197659,0.075900641,0.09952061,0.191319659,0.132134199
85,"Chicago, IL",chil,R04-MMW0,-87.83207106,41.85280337,4326,0.115930036,0.049525299,0.23687079,0.236803881,0.142890208,0.16991079,0.087595474,0.221952353,0.0134545,0.158473462,0.265603083,0.206619863,0.060281502,0.169774189,0.27677255,0.208223116
86,"Chicago, IL",chil,R04-MMW3,-87.82763197,41.86356253,4326,0.116640008,0.050878462,0.242511636,0.250908613,0.140111791,0.188703384,0.089951257,0.223554304,0.020276067,0.156974013,0.24345501,0.207495449,0.063239508,0.174052669,0.29124817,0.207620797
87,"Chicago, IL",chil,R04-SCH1,-87.8484205,41.85567851,4326,0.088414633,0.043709111,0.197733839,0.171713574,0.100950203,0.099554465,0.12346595,0.160981385,0.020270042,0.116749331,0.190962913,0.144795235,0.078559868,0.123289617,0.181945913,0.14599348
88,"Chicago, IL",chil,R05-FMG1,-87.91280438,41.84824061,4326,0.162016564,0.064450073,0.274652094,0.273028574,0.190048045,0.215778351,0.226256708,0.248336856,0.003872791,0.200801232,0.287992075,0.249644482,0.064290654,0.217020361,0.281951901,0.240952097
89,"Chicago, IL",chil,R05-GOC1,-87.88292622,41.85757554,4326,0.125760839,0.049655625,0.235435054,0.229174695,0.140812351,0.179826952,0.147592516,0.205637935,0.016431488,0.161108843,0.133148074,0.196099926,0.079178225,0.176991216,0.240454159,0.196784767
90,"Chicago, IL",chil,R05-MTC1,-87.91060758,41.86915824,4326,0.127244794,0.080676971,0.253959393,0.249090268,0.164226297,0.211089516,0.100174092,0.216737763,0.00587731,0.17389877,0.147547959,0.208831489,0.059736439,0.184660698,0.241687001,0.215776796
91,"Chicago, IL",chil,R05-STP1,-87.86937113,41.88326265,4326,0.078651044,0.067412975,0.184812663,0.156609627,0.087086719,0.085765653,0.048332734,0.142787129,0.018136209,0.103684835,0.110833118,0.127837326,0.08897443,0.109295392,0.170571076,0.133287853
92,"Chicago, IL",chil,R06-OTB1,-87.97779673,41.85248376,4326,0.096416209,0.067467709,0.232363559,0.196301029,0.116301702,0.12733457,0.199631253,0.180803626,0.040121504,0.129874868,0.220932304,0.165349454,0.089825839,0.138681433,0.217054796,0.171687647
93,"Chicago, IL",chil,R06-SLT2,-87.95678027,41.87464622,4326,0.11694579,0.09638002,0.264565838,0.241309358,0.139050295,0.161744317,0.254399753,0.220184326,0.039998891,0.15902933,0.278824971,0.197199422,0.082821181,0.170109935,0.275089315,0.208884825
