siteID,JA19,AP19,JU19,OC19,JA20,AP20,JU20,OC20,JA21,AP21,JU21,OC21,JA22,AP22,JU22,OC22
JAMS_LIP,NA,NA,10,0,5,4,18,6,4,3,0,3,NA,NA,0,NA
JAMS_MAN,NA,NA,0,0,15,9,31,104,20,14,0,26,NA,NA,0,NA
JAMS_MAP,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
JAMS_MAS,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,0,NA
JAMS_MIP,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
JAMS_MOC,NA,NA,0,0,7,52,8,151,25,3,0,169,NA,NA,0,NA
JAMS_MON,NA,NA,0,12,3,1,6,0,1,0,0,1,NA,NA,0,NA
JAMS_NAC,NA,NA,3,9,0,0,0,6,1,0,0,1,NA,NA,0,NA
JAMS_NON,NA,NA,0,3,2,5,24,22,3,5,0,0,NA,NA,0,NA
JAMS_NTE,NA,NA,0,0,0,8,5,20,28,9,0,13,NA,NA,0,NA
JAMS_NTW,NA,NA,0,0,0,12,19,18,9,0,0,4,NA,NA,0,NA
JAMS_OLC,NA,NA,0,0,8,5,4,3,2,4,0,3,NA,NA,0,NA
JAMS_OLS,NA,NA,0,3,0,2,5,1,2,0,0,0,NA,NA,0,NA
JAMS_PAG,NA,NA,0,0,0,0,0,0,0,3,0,9,NA,NA,0,NA
JAMS_PAN,NA,NA,0,0,17,28,32,37,4,10,0,4,NA,NA,0,NA
JAMS_PAP,NA,NA,8,0,0,21,6,1,15,7,0,10,NA,NA,0,NA
JAMS_PEG1,NA,NA,0,0,0,1,0,0,1,0,0,2,NA,NA,0,NA
JAMS_PEG2,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,NA
JAMS_SHP,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
JAMS_SOP,NA,NA,0,0,1,5,0,1,1,4,0,9,NA,NA,0,NA
JAMS_TON,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
JAMS_TOP,NA,NA,0,1,0,6,4,4,0,1,0,10,NA,NA,0,NA
JAMS_TWR,NA,NA,0,5,3,0,0,28,0,5,0,16,NA,NA,0,NA
JAMS_VAP,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
JAMS_WEP,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
JAMS_WOP,NA,NA,15,16,9,0,0,0,50,24,0,36,NA,NA,0,NA
LRAR_LRAR-ALS1,NA,NA,NA,NA,NA,NA,0,12,0,3,0,7,2,4,0,11
LRAR_LRAR-BUR1,NA,NA,NA,NA,NA,NA,34,4,4,1,4,5,2,5,8,0
LRAR_LRAR-BUR2,NA,NA,NA,NA,NA,NA,2,8,0,9,5,50,2,0,4,117
LRAR_LRAR-BUR3,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,0,1,1
LRAR_LRAR-COM1,NA,NA,NA,NA,NA,NA,20,12,9,3,14,54,6,9,5,31
LRAR_LRAR-CON1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
LRAR_LRAR-COO1,NA,NA,NA,NA,NA,NA,16,9,17,7,4,10,2,0,0,6
LRAR_LRAR-CPL1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
LRAR_LRAR-DDT1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
LRAR_LRAR-DDT2,NA,NA,NA,NA,NA,NA,9,2,0,1,0,1,0,0,0,0
LRAR_LRAR-EAS1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,1,0
LRAR_LRAR-EMR1,NA,NA,NA,NA,NA,NA,7,7,7,8,5,16,24,12,3,1
LRAR_LRAR-KNO1,NA,NA,NA,NA,NA,NA,4,14,5,14,9,12,42,8,5,54
LRAR_LRAR-MAU2,NA,NA,NA,NA,NA,NA,10,10,9,0,6,11,11,2,0,2
LRAR_LRAR-MUR1,NA,NA,NA,NA,NA,NA,28,8,5,5,7,9,1,6,5,16
LRAR_LRAR-MUR2,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0
LRAR_LRAR-OTT1,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0
LRAR_LRAR-PIN1,NA,NA,NA,NA,NA,NA,3,2,2,1,1,1,4,2,0,4
LRAR_LRAR-PIN2,NA,NA,NA,NA,NA,NA,2,11,0,4,3,2,3,0,2,13
LRAR_LRAR-REB1,NA,NA,NA,NA,NA,NA,10,6,10,7,9,4,3,3,0,8
LRAR_LRAR-RIC1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
LRAR_LRAR-RIV1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
LRAR_LRAR-ROS1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
LRAR_LRAR-SHE1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
LRAR_LRAR-TMP1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
LRAR_LRAR-TRP1,NA,NA,NA,NA,NA,NA,5,16,16,5,11,9,35,7,12,0
LRAR_LRAR-TRP2,NA,NA,NA,NA,NA,NA,13,83,17,42,14,26,31,10,16,0
LRAR_LRAR-TRP3,NA,NA,NA,NA,NA,NA,24,155,18,18,44,52,5,38,5,0
